code,course_name,description
ART-2452,Digital Photography I,"This course introduces students to the digital camera and editing platforms as tools for creative and expressive use of the photographic medium. Deliberate use of camera capture functions and file management will be explored in tandem with editing strategies using Adobe software. Exhibition-grade inkjet printing will be introduced in a fully equipped Mac lab. This course emphasizes the concepts, theory, and history of the photographic medium within the context of contemporary art. Students will produce photographs by a variety of digital means and engage in meaningful discussion and critical analysis of images and image aesthetics. (Offered every semester)."
ART-4152,Advanced Digital Photography,A continuation of ART 3452.  Credit may vary from 1-3 semester hours.  Course may be repeated for a maximum of 9 credit hours.    Prerequisite: ART 3452.
ART-4252,Advanced Digital Photography,A continuation of ART 3452.  Credit may vary from 1-3 semester hours.  Course may be repeated for a maximum of 9 credit hours.    Prerequisite: ART 3452.
ART-4352,Advanced Digital Photography,A continuation of ART 3452.  Credit may vary from 1-3 semester hours.  Course may be repeated for a maximum of 9 credit hours.    Prerequisite: ART 3452.
ART-2430,Drawing I,"The presentation and investigation of the technical, conceptual, and aesthetic elements of drawing as they relate to the development of ideas.  The study of human figure may be included.  (Offered every semester.)"
ART-3430,Drawing II,A continuation of Art 2430.  Prerequisite: ART 2430.
ART-4430,Drawing III,A continuation of ART 3430. Course may be repeated for a maximum of 12 credit hours.  (Offered every year.)  Prerequisite: ART 3430.
ART-1309,Advanced Placement Credit in Studio Art,Students earning a 5 on the Advanced Placement Test in Studio Art will receive AP credit through this course.
ART-1410,Design,"Studio practice in dealing with 2-D and 3-D compositional problems, integrating the visual elements with aesthetic principles and an emphasis on creative solutions. Students may not register for both ART 1410 and THTR 2310."
ART-2314,Creative Thinking and the Artistic Process,"This course encourages students to synthesize a theoretical and experimental approach to the creative process as studied through the visual arts, music, creative writing, and theatre. Students enter into the creative process as means to develop creative self-expression, aesthetic sensibility, and an understanding of the arts. The nature and drive of artistic endeavor is explored through studies of the lives of significant thinkers and artists, examinations of art works, guests lectures, and projects. Students will engage in activities and projects that will enable them to access and develop their own creative thinking skills in concert with traditional, analytic modes. (Also listed as GNED 2340, THTR 2340, ENGL 2340 and MUSC 2340.)"
ART-2495,Outdoor Studio,"Outdoor Studio consists of working excursions to outdoor sites in and around San Antonio.  Students in Outdoor Studio create works of art on site and gather information to create or complete work in studio.  Traditional landscape media, contemporary strategies, and new technologies are explored.  Course includes readings and lectures addressing pertinent environmental questions to enhance understanding of the Texas landscape and to investigate the complex issues surrounding the landscape of today.  (Offered every Spring.)"
ART-3113,Guest Artist Workshop,A four-week studio course taught by visiting artists encompassing the sharing of skills and philosophical approaches to artistic problems.
ART-3314,Issues in Contemporary Art,"A seminar in contemporary visual art exploring art theory, practice, and history.  The thematic structure will blend historical and contemporary art criticism, exhibitions, and studio practice. The fundamental theories of art making throughout the twentieth century will be explored through the study of drawing, painting, architecture, photography, film, ceramics and sculpture. Prerequisite:  ARTH 1407 or 1408."
ART-3478,Alternative Studio Practices,"Alternative Studio Practices is a course that addresses art traditions that are experimental in their media, method and manifestation.  Participants will explore methods of art making that are ephemeral and social in nature from within a cooperative/collaborative unit.  (Offered every year.)"
ART-3190,Special Work in Studio Art,Not to exceed 6 semester hours.  Prerequisite:  Consent of instructor.
ART-3290,Special Work in Studio Art,Not to exceed 6 semester hours.  Prerequisite:  Consent of instructor.
ART-3390,Special Work in Studio Art,Not to exceed 6 semester hours.  Prerequisite:  Consent of instructor.
ART-3490,Special Work in Studio Art,Not to exceed 6 semester hours.  Prerequisite:  Consent of instructor.
ART-3590,Special Work in Studio Art,Not to exceed 6 semester hours.  Prerequisite:  Consent of instructor.
ART-3690,Special Work in Studio Art,Not to exceed 6 semester hours.  Prerequisite:  Consent of instructor.
ART-4191,Advanced Study in Studio Art,Research and critique in studio work.  Not to exceed 12 hours.  Prerequisite:  Upper-division major in the department or consent of instructor.
ART-4291,Advanced Study in Studio Art,Research and critique in studio work.  Not to exceed 12 hours.  Prerequisite:  Upper-division major in the department or consent of instructor.
ART-4391,Advanced Study in Studio Art,Research and critique in studio work.  Not to exceed 12 hours.  Prerequisite:  Upper-division major in the department or consent of instructor.
ART-4491,Advanced Study in Studio Art,Research and critique in studio work.  Not to exceed 12 hours.  Prerequisite:  Upper-division major in the department or consent of instructor.
ART-4591,Advanced Study in Studio Art,Research and critique in studio work.  Not to exceed 12 hours.  Prerequisite:  Upper-division major in the department or consent of instructor.
ART-4691,Advanced Study in Studio Art,Research and critique in studio work.  Not to exceed 12 hours.  Prerequisite:  Upper-division major in the department or consent of instructor.
ARTH-1306,Advanced Placement Credit in Art History,Students earning a 5 on the Advanced Placement Test in Art History will receive AP credit through this course.
ARTH-1310,Introduction to Asian Art: China,"The origins and development of art and architecture in China set within the religious, political and social context."
ARTH-1314,Art and Architecture of Medieval Europe,"This course examines the art and architecture of the Middle Ages in Europe, from the earliest Christian imagery of the fourth century to late Gothic court art, produced around 1400.  The geographical range extends from the northern fringes of the British Isles to the borders of the Byzantine world, and a wide selection of buildings and objects will be considered in relation to their social, political and historical contexts, with a particular focus on the development of the Christian tradition.  (also listed as GRST 1314)  Common Curriculum:  This course will only count towards Greco-Roman, Jewish, and Christian Traditions through the Early Modern Period."
ARTH-1407,Art History I: Prehistoric Through Medieval Art,"This course provides an introduction to Art History through a survey of major buildings, archaeological sites, and artworks from Prehistory to the late Middle Ages, focusing on Europe, the Mediterranean, and their fringes. It examines material from various contexts, including Paleolithic France, Pharaonic Egypt, Imperial Rome, and Christian Europe, concluding with Gothic art produced on the eve of the Renaissance. A wide range of sites, structures, and objects in various media are considered in relation to their social, cultural, political, religious and historical contexts.  (Offered every semester.)"
ARTH-1408,Art History II: Renaissance to Modern Art,"The course is a continuation of ARTH 1407, though it may be taken independently. Art History II is a selective survey of painting, sculpture, and architecture from the late Gothic period to the rise of Modernism. Beginning in the 14th century, the course surveys works of art and architecture created in a variety of contexts, spanning the periods of Renaissance and Baroque Europe, the Enlightenment and Industrial Revolutions, Neoclassicism and Romanticism, and the artistic movements of the 19th century. ARTH 1408 concludes with Modern art and architecture in Europe, Mexico, and America. Following a roughly chronological order, the course considers the social, sacred, historical, and political functions of art, techniques of production, artistic styles, iconography, and patronage.  (Offered every semester.)"
ARTH-1412,Art and Architecture of Latin Americas Since the 16TH Century,"This course examines the rich and diverse art of the Americas since the arrival of Europeans in the sixteenth century.  It considers the architecture, painting, sculpture, photography, and planning of this region with the aim of understanding the distinctive elements of Latin American art as well as its commonalities with the art of Europe and the United States.  The course will consider works in relations to the dramatic social and political changes of the last five centuries and the ways in which the study of the art of Latin America complicates established art historical narratives.  (Offered every year.)"
ARTH-1413,Art and Archaeology of Ancient Egypt,"A survey of the major monuments and sites of ancient Egypt, with a focus on the Predynastic period, the Old Kingdom, and the New Kingdom.  (Offered every year.)"
ARTH-1415,Art and Architecture of Mexico,"An examination of architecture, painting, sculpture, and other arts in Mexico since the sixteenth century. (Offered every year.)"
ARTH-1416,Art and Architecture of South America And the Caribbean,"An examination of architecture, painting, sculpture, and other arts in South America and the Caribbean since the sixteenth century. (Offered every year.)"
ARTH-2428,The First Cities: the Urban Revolution In Early Mesopotamia,"This course focusses upon the material record for the so-called Urban Revolution that took place in Mesopotamia (modern eastern Turkey, northern and eastern Iraq, and southwestern Iran) ca. 5000-3000 BC; the course will also follow the trajectory of the development of the city down to ca. 2000 BC. In ancient Mesopotamia, humans first organized together into urban settlements, first began to write, and first began to live in complexly structured socio-political environments. The most critical locus of the early city, both physical and conceptual, was the central temple of the major deity of the city. The principal types of monuments discussed in this course are architecture, sculpture (free-standing, relief, and architectural) and glyptic (stamp and cylinder seals). The course will involve critical inquiry from various disciplines, including history, anthropology, archaeology, urban studies, and art history."
ARTH-2429,"Art of Empire: Assyria, Babylonia, and Persia","The first empires of the ancient world emerged in an area encompassed today by the nation-states of Iraq and Iran. This course explores the architecture and visual record of three particularly large imperial powers of the first millennium B.C., Assyria, Babylonia, and Persia. The central research question concerns the manner in which an ideology of empire is expressed in the built and visual environments of the great capital cities of these empires: in Assyria, Nimrud, Nineveh, and Khorsabad, in Babylonia, Babylon, and in Persia, Pasargadae, Persepolis, and Susa. These great capital cities were known far and wide across the ancient Mediterranean and western and central Asia and provided models for the architectural and visual expression of empire for millennia."
ARTH-2432,This Is America: Rethinking American Art At the San Antonio Museum of Art,"Borrowing its name from hip hop artist Childish Gambino's Grammy-winning song and music video, this course asks students to rethink American history, art, and borders through the study of objects in the San Antonio Museum of Art collection. This experiential course meets weekly at the San Antonio Museum, allowing students to engage closely with objects and artworks. Students will approach canonical works of American art with a critical lens and discover works by lesser-known American artists. Our inquiry spans time, media, and geography, including Latin American, Texas, and Chicano art, animation, abstraction, and folk art from the pre-Columbian period to contemporary. Students will also gain understanding of a functioning museum, engaging with curators and staff and viewing works of art in storage. (Offered every Spring.)"
ART-2440,Painting I,A basic course in beginning painting techniques and issues in contemporary painting.  Prerequisite: ART 1410 or 2430.
ART-3440,Painting II,A continuation of ART 2440.  Prerequisite: ART 2440.
ART-4440,Painting III,A continuation of ART 3440.   Course may be repeated for a maximum of 12 credit hours.   Prerequisite: ART 3440.
ART-2450,Photography I,A basic course in beginning black and white traditional film/darkroom photographic techniques and issues in photography. Preference will be given to Art and Art History majors and minors.  (Offered every Year.)
ART-2451,Thinking Photography,"A course rooted in Roland Barthes' notion of the pensive image: ""Ultimately, photography is subversive, not when it frightens, repels, or stigmatizes, but when it is pensive, when it thinks."" Students will produce, interpret,  discuss, and display collaborative work and individual projects. Topics of focus include history of optics; site specificity and the camera obscura; experimental, improvised cameras; the still and the moving image; the unfixed image; the unique image; the beautiful document. (Offered every year.)"
ART-3450,Photography II,"This course builds on foundational photographic  processes. With an emphasis on aesthetic and  conceptual uses of the camera, students explore  processes of analog and digital overlap.  Additionally, this course explores historically  established uses of the photographic medium and  their relation in contemporary contexts.   (Offered every semester.)  Prerequisites: ART 2450 or 2452."
ART-3452,Photography III,"This course builds on photographic processes  involving film and digital overlap.  Emphasis is  on deliberate and experimental use of camera  format, creation of an efficient and beneficial  workflow,  and the production of a cohesive body  of photographic prints using a range of inkjet  printers. Additionally, this course explores  historically established uses of the photographic  medium and their relation in contemporary  contexts.    Prerequisite: Art 3450."
ART-4450,Advanced Photography Projects,"ART 4450 Advanced Photography Projects explores advanced aspects of photographic capture, creation, and output.  Emphasizing process-oriented engagement with digital and analog tools, students explore possible forms of photographic objects.  (Offered every year.)  Prerequisite: at least two courses in photography or consent of the instructor."
ART-2460,Lithography and Monotype,An introduction to the process and chemistry of lithography and monotype technique through studio experience. 4 studio hours and at least 8 hours outside preparation per week required.  May be repeated up to 3 times.  (Offered every year.)
ART-2462,Intaglio and Relief,"Introduces the technical and aesthetic characteristics of Intaglio and Relief through studio experience. We will address larger issues of printmaking, and develop a personal vocabulary while exploring these versatile print media. 4 studio hours and 8 hours outside preparation per week required.  May be repeated up to 3 times. (Offered every year.)"
ART-2464,Screen Printing,"Experience Screen Printing through a hands-on studio class, including hand-drawn and photomechanically applied stencils, color separations, paper/substrate choices and discussions of issues in contemporary printmaking. 4 studio hours and 8 hours outside preparation per week required.  May be repeated up to 3 times. (Offered every year.)"
ART-2466,Papermaking, A hands-on studio course in the history and techniques of Asian and European papermaking. The impact of the discovery of paper on the world and its contemporary uses are contextualized through the aesthetics and technical exploration of hand-made paper. 4 studio hours and 8 hours outside preparation per week required. May be repeated up to 3 times. (Offered every year.)
ART-2468,Bookbinding,"Presenting the book-as-object, this course is an exploration of bookbinding through studio practice supported by investigation of the history of the book and evolution of binding styles. With an emphasis on technical skills, we will work with a variety of binding styles and materials to understand how structure and content play off of each other, and explore the definition of what constitutes a book. 4 studio hours and at least 8 hours of outside preparation per week are required. May be repeated up to 3 times."
ART-3160,Topics in Intermediate Printmaking,"This course is designed for students who have already taken a course in printmaking and wish to experience a particular printmaking technique in greater depth.  The course may be taken more than once, as long as course content changes.  Credit may vary from 1 to 3 semester hours.  Course may be repeated for a maximum of 9 credit hours.  Prerequisite: ART 2460, 2462, 2464, or consent of instructor."
ART-3260,Topics in Intermediate Printmaking,"This course is designed for students who have already taken a course in printmaking and wish to experience a particular printmaking technique in greater depth.  The course may be taken more than once, as long as course content changes.  Credit may vary from 1 to 3 semester hours.  Course may be repeated for a maximum of 9 credit hours.  Prerequisite: ART 2460, 2462, 2464, or consent of instructor."
ART-3360,Topics in Intermediate Printmaking,"This course is designed for students who have already taken a course in printmaking and wish to experience a particular printmaking technique in greater depth.  The course may be taken more than once, as long as course content changes.  Credit may vary from 1 to 3 semester hours.  Course may be repeated for a maximum of 9 credit hours.  Prerequisite: ART 2460, 2462, 2464, or consent of instructor."
ART-3462,Digital and Photo Printmaking,"This in-depth studio course uses digital and photographic tools and techniques to develop  images in conjunction with and for direct use in hand printmaking. Using the computer as an imagemaking tool, this class combines old and new media and provides an exploration of contemporary printmaking.  4 studio hours and 8 hours outside preparation per week required.  May be repeated up to 3 times.  (Offered every year.)  Prerequisites: ART 2460, 2462, 2464, or consent of Instructor."
ART-4160,Topics in Advanced Printmaking,"This course is designed for students who have already taken ART 3-60 and desire to hone their technical skills and conceptual expression at the advanced level.  The course may be taken more than once, as long as course content changes.  Credit may vary from 1 to 3 semester hours.  Course may be repeated for a maximum of 9 credit hours. Prerequisite: ART 3-60 or consent of instructor."
ART-4260,Topics in Advanced Printmaking,"This course is designed for students who have already taken ART 3-60 and desire to hone their technical skills and conceptual expression at the advanced level.  The course may be taken more than once, as long as course content changes.  Credit may vary from 1 to 3 semester hours.  Course may be repeated for a maximum of 9 credit hours. Prerequisite: ART 3-60 or consent of instructor."
ART-4360,Topics in Advanced Printmaking,"This course is designed for students who have already taken ART 3-60 and desire to hone their technical skills and conceptual expression at the advanced level.  The course may be taken more than once, as long as course content changes.  Credit may vary from 1 to 3 semester hours.  Course may be repeated for a maximum of 9 credit hours. Prerequisite: ART 3-60 or consent of instructor."
ART-2470,Sculpture: Clay: Handbuilding,"A beginning level course in sculpture focusing on clay handbuilding techniques, electric kiln firing, and glaze processes. Issues in contemporary clay sculpture are explored through guided assignments and student research."
ART-2471,Sculpture: Clay: Slip Casting,"Slip Casting incorporates the use of prototypes, plaster molds, and clay slip to create and shape complex sculptural forms. Issues in contemporary clay sculpture are explored through guided assignments and student research."
ART-2474,Sculpture: Wood,A beginning-level course in sculpture focusing on construction techniques in wood. Issues in contemporary sculpture will be explored. The class is designed to serve as an introduction to basic visual concepts and applications as they apply to the creation and evaluation of sculptural artwork composed primarily of wood material. Students of all skill levels are welcome to enroll. Research assignments will incorporate concepts of visual literacy and terminology as they apply to sculpture.  (Offered every year.)
ART-3471,Sculpture: Advanced Clay Projects,"Sculpture: Advanced Clay Projects is focused on porcelain clay and porcelain clay slip. It will develop the student's conceptual and technical interests associated with portfolio development. A series of guided assignments based on hand building, mold making, and casting techniques, are sequenced to explore contemporary issues in art. Research assignments will build on concepts of visual literacy and terminology. May be repeated up to 3 times.   Prerequisites: ART 2470 or 2471."
ART-3472,Topics in Sculpture,"From time to time special topics courses in sculpture will be offered.  The course may be taken more than one, as long as the course content changes.    Prerequisite: Consent of instructor."
ART-3473,Sculpture: Contemporary Concepts and Materials,"This sculpture class will introduce visual concepts and applications as they apply to the creation and evaluation of art works composed of mixed materials. Processes will emphasize construction of armatures, additive applications, body casting, and surface treatments. Materials introduced include but are not limited to wood, plaster, found object, and synthetic materials. Students of all skill levels are welcome to enroll.   (Offered every year.)"
ART-3191,Topics in Studio Art,"From time to time special topic courses not described in the Courses of Study Bulletin will be offered.  The course may be taken more than once, as long as course content changes.  Prerequisite:  Consent of instructor."
ART-3197,Internship,"Internships are offered in a variety of professional visual art venues such as museums, galleries and other art institutions.  Such work will not exceed 10 hours per week.  1-3 hours per semester, maximum 6 semester hours.  Pass/Fail only.  Prerequisites: Junior or senior standing art major or minor and consent of department chair."
